# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float64}
# - {name: time, unit: d, datatype: float64}
# - {name: flux, datatype: float64}
# - {name: uncertainty, datatype: float64}
# - {name: planet_model, datatype: float64}
# - {name: systematics_model, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# meta: {name: WASP-39b, time_label: Time from Mid-Transit, tscale: linear, wscale: log}
# schema: astropy-2.0
wavelength time flux uncertainty planet_model systematics_model model residuals
3.017 -0.11833497071831589 0.999776494351186 0.0003403250290036244 1.0 1.002967115005829 1.0000001679651949 -0.00022367361400887908
3.017 -0.11764943581267362 0.999905248374482 0.00034032795518375194 1.0 1.0029584913756047 1.0000001682618584 -9.491988737642121e-05
3.017 -0.11696390090703135 1.0003255825013861 0.0003403308441917611 1.0 1.0029499774393458 1.000000168749605 0.0003254137517811895
3.017 -0.11627836553572779 1.0000355933120741 0.0003403337224967264 1.0 1.0029414951888098 1.0000001693931204 3.542391895372532e-05
3.017 -0.11559283016442423 1.0000161277772182 0.00034033658987823843 1.0 1.0029330452719143 1.0000001698272711 1.5957949947020822e-05
3.017 -0.11490729525878196 1.00033780358753 0.00034033946364780846 1.0 1.0029245766728416 1.0000001702339465 0.0003376333535836107
3.017 -0.11422176035313969 0.9997364007256551 0.0003403423450878478 1.0 1.0029160856135497 1.0000001702680503 -0.0002637695423952646
3.017 -0.11353622498183613 1.0000901115722094 0.00034034523183249426 1.0 1.002907579066755 1.0000001712660185 8.994030619091653e-05
3.017 -0.11285068961053257 0.9998792453682848 0.0003403480914552342 1.0 1.0028991525840123 1.0000001713315718 -0.00012092596328705518
3.017 -0.11216515423922901 1.0001100733134791 0.00034035096977107427 1.0 1.0028906711610892 1.000000172155198 0.00010990115828102276
3.017 -0.11147961933358674 1.0003477136817978 0.0003403537848508359 1.0 1.0028823762122532 1.0000001723944005 0.0003475412873972239
3.017 -0.11079408442794447 1.0000892138931665 0.0003403566473840836 1.0 1.0028739415770918 1.0000001726064953 8.90412866711987e-05
3.017 -0.11010854905664091 1.0000385987905542 0.0003403594707431305 1.0 1.0028656225101662 1.0000001727398913 3.8426050662954125e-05
3.017 -0.10942301368533736 1.0001098703618985 0.00034036229576384276 1.0 1.0028572986852582 1.0000001729890882 0.00010969737281030234
3.017 -0.10873747877969508 0.9999163014226906 0.0003403651188583226 1.0 1.0028489806739604 1.0000001732212318 -8.387179854119076e-05
